destino,categoria,region,titulo,texto,rating,fecha_raw,fecha_extraccion,titulo_limpio,texto_limpio,texto_completo,longitud_texto,idioma,sentimiento_rating,anio
Cuenca,Ciudad/Patrimonio,Sierra,Overrated compared to other cities,Cuenca is nice but I did not find it as exceptional as people say. The historic center is pretty but compact. After one full day we had seen the main sights. Food options for vegetarians were limited. The museums close early and some were under renovation.,3.0,October 2023,2026-04-20,Overrated compared to other cities,Cuenca is nice but I did not find it as exceptional as people say. The historic center is pretty but compact. After one full day we had seen the main sights. Food options for vegetarians were limited. The museums close early and some were under renovation.,Overrated compared to other cities. Cuenca is nice but I did not find it as exceptional as people say. The historic center is pretty but compact. After one full day we had seen the main sights. Food options for vegetarians were limited. The museums close early and some were under renovation,256,en,neutro,2023
Banos,Aventura,Sierra,Destino de aventura increíble,"Baños es el paraíso de la aventura en Ecuador. Hicimos rafting, canopy, ciclismo por la ruta de las cascadas y el columpio del fin del mundo. Todo en un solo lugar y a precios muy accesibles. La caña de azúcar y la melcocha son un must. Volveré sin duda.",5.0,Marzo 2024,2026-04-20,Destino de aventura increíble,"Baños es el paraíso de la aventura en Ecuador. Hicimos rafting, canopy, ciclismo por la ruta de las cascadas y el columpio del fin del mundo. Todo en un solo lugar y a precios muy accesibles. La caña de azúcar y la melcocha son un must. Volveré sin duda.","Destino de aventura increíble. Baños es el paraíso de la aventura en Ecuador. Hicimos rafting, canopy, ciclismo por la ruta de las cascadas y el columpio del fin del mundo. Todo en un solo lugar y a precios muy accesibles. La caña de azúcar y la melcocha son un must. Volveré sin duda",254,es,positivo,2024
Banos,Aventura,Sierra,Adventure capital of Ecuador,"Banos delivers on its reputation as Ecuador adventure hub. We did white water rafting on the Pastaza river, zip-lining, and the famous swing at the end of the world. The route of the waterfalls by bike was spectacular. Affordable, fun, and the town has great energy.",5.0,January 2024,2026-04-20,Adventure capital of Ecuador,"Banos delivers on its reputation as Ecuador adventure hub. We did white water rafting on the Pastaza river, zip-lining, and the famous swing at the end of the world. The route of the waterfalls by bike was spectacular. Affordable, fun, and the town has great energy.","Adventure capital of Ecuador. Banos delivers on its reputation as Ecuador adventure hub. We did white water rafting on the Pastaza river, zip-lining, and the famous swing at the end of the world. The route of the waterfalls by bike was spectacular. Affordable, fun, and the town has great energy",266,en,positivo,2024
Banos,Aventura,Sierra,Demasiado turístico y ruidoso,Baños ha perdido su encanto original por el exceso de turismo. La calle principal está llena de tiendas de souvenirs idénticas y restaurantes mediocres. El ruido nocturno es insoportable. Las actividades de aventura están bien pero el pueblo en sí decepcionó.,2.0,Febrero 2024,2026-04-20,Demasiado turístico y ruidoso,Baños ha perdido su encanto original por el exceso de turismo. La calle principal está llena de tiendas de souvenirs idénticas y restaurantes mediocres. El ruido nocturno es insoportable. Las actividades de aventura están bien pero el pueblo en sí decepcionó.,Demasiado turístico y ruidoso. Baños ha perdido su encanto original por el exceso de turismo. La calle principal está llena de tiendas de souvenirs idénticas y restaurantes mediocres. El ruido nocturno es insoportable. Las actividades de aventura están bien pero el pueblo en sí decepcionó,259,es,negativo,2024
Banos,Aventura,Sierra,Great base for exploring the area,Banos itself is touristy but serves as an excellent base. The surrounding landscape is dramatic with the Tungurahua volcano backdrop. The waterfall route is beautiful especially in the morning before crowds arrive. Budget friendly with lots of accommodation options.,4.0,December 2023,2026-04-20,Great base for exploring the area,Banos itself is touristy but serves as an excellent base. The surrounding landscape is dramatic with the Tungurahua volcano backdrop. The waterfall route is beautiful especially in the morning before crowds arrive. Budget friendly with lots of accommodation options.,Great base for exploring the area. Banos itself is touristy but serves as an excellent base. The surrounding landscape is dramatic with the Tungurahua volcano backdrop. The waterfall route is beautiful especially in the morning before crowds arrive. Budget friendly with lots of accommodation options,266,en,positivo,2023
Banos,Aventura,Sierra,Experiencia completa de aventura y naturaleza,Lo que más me gustó de Baños fue la combinación perfecta de aventura y naturaleza. Las cascadas de Pailón del Diablo son impresionantes. El volcán Tungurahua de fondo crea paisajes únicos. Los precios son muy razonables para la calidad de las actividades ofrecidas.,4.0,Noviembre 2023,2026-04-20,Experiencia completa de aventura y naturaleza,Lo que más me gustó de Baños fue la combinación perfecta de aventura y naturaleza. Las cascadas de Pailón del Diablo son impresionantes. El volcán Tungurahua de fondo crea paisajes únicos. Los precios son muy razonables para la calidad de las actividades ofrecidas.,Experiencia completa de aventura y naturaleza. Lo que más me gustó de Baños fue la combinación perfecta de aventura y naturaleza. Las cascadas de Pailón del Diablo son impresionantes. El volcán Tungurahua de fondo crea paisajes únicos. Los precios son muy razonables para la calidad de las actividades ofrecidas,265,es,positivo,2023
Mindo,Ecoturismo,Sierra,Paraíso para observación de aves,"Mindo es uno de los mejores lugares del mundo para observar aves. Con más de 500 especies registradas en la zona, cada amanecer es una experiencia única. Los jardines de mariposas y la chocolatería artesanal complementan perfectamente la visita. Lugar mágico.",5.0,Febrero 2024,2026-04-20,Paraíso para observación de aves,"Mindo es uno de los mejores lugares del mundo para observar aves. Con más de 500 especies registradas en la zona, cada amanecer es una experiencia única. Los jardines de mariposas y la chocolatería artesanal complementan perfectamente la visita. Lugar mágico.","Paraíso para observación de aves. Mindo es uno de los mejores lugares del mundo para observar aves. Con más de 500 especies registradas en la zona, cada amanecer es una experiencia única. Los jardines de mariposas y la chocolatería artesanal complementan perfectamente la visita. Lugar mágico",259,es,positivo,2024
Mindo,Ecoturismo,Sierra,Cloud forest paradise,"Mindo exceeded all expectations. The cloud forest is incredibly biodiverse and the birding is world class. We spotted toucans, hummingbirds, and tanagers in abundance. The butterfly garden is beautiful and the chocolate tour was delicious and educational.",5.0,January 2024,2026-04-20,Cloud forest paradise,"Mindo exceeded all expectations. The cloud forest is incredibly biodiverse and the birding is world class. We spotted toucans, hummingbirds, and tanagers in abundance. The butterfly garden is beautiful and the chocolate tour was delicious and educational.","Cloud forest paradise. Mindo exceeded all expectations. The cloud forest is incredibly biodiverse and the birding is world class. We spotted toucans, hummingbirds, and tanagers in abundance. The butterfly garden is beautiful and the chocolate tour was delicious and educational",255,en,positivo,2024
Mindo,Ecoturismo,Sierra,Muy pequeño para quedarse más de un día,Mindo es bonito pero muy pequeño. En un día se puede ver todo. La observación de aves es excelente si eres fanático del birdwatching pero si no lo eres el pueblo tiene poco que ofrecer. Los hospedajes son básicos y los precios han subido.,3.0,Enero 2024,2026-04-20,Muy pequeño para quedarse más de un día,Mindo es bonito pero muy pequeño. En un día se puede ver todo. La observación de aves es excelente si eres fanático del birdwatching pero si no lo eres el pueblo tiene poco que ofrecer. Los hospedajes son básicos y los precios han subido.,Muy pequeño para quedarse más de un día. Mindo es bonito pero muy pequeño. En un día se puede ver todo. La observación de aves es excelente si eres fanático del birdwatching pero si no lo eres el pueblo tiene poco que ofrecer. Los hospedajes son básicos y los precios han subido,238,es,neutro,2024
Mindo,Ecoturismo,Sierra,A hidden gem near Quito,"Just two hours from Quito, Mindo feels like another world. The lush green forests, waterfalls, and incredible wildlife make it perfect for a weekend escape. The tarabita cable car across the valley is a fun experience. Very affordable and laid back.",4.0,March 2024,2026-04-20,A hidden gem near Quito,"Just two hours from Quito, Mindo feels like another world. The lush green forests, waterfalls, and incredible wildlife make it perfect for a weekend escape. The tarabita cable car across the valley is a fun experience. Very affordable and laid back.","A hidden gem near Quito. Just two hours from Quito, Mindo feels like another world. The lush green forests, waterfalls, and incredible wildlife make it perfect for a weekend escape. The tarabita cable car across the valley is a fun experience. Very affordable and laid back",249,en,positivo,2024
Guayaquil,Ciudad/Costa,Costa,Ciudad en transformación,Guayaquil ha cambiado muchísimo en los últimos años. El Malecón 2000 está muy bien mantenido y es agradable para caminar. Las Peñas es un barrio colorido lleno de arte. Sin embargo la seguridad sigue siendo una preocupación constante que limita la exploración libre.,3.0,Marzo 2024,2026-04-20,Ciudad en transformación,Guayaquil ha cambiado muchísimo en los últimos años. El Malecón 2000 está muy bien mantenido y es agradable para caminar. Las Peñas es un barrio colorido lleno de arte. Sin embargo la seguridad sigue siendo una preocupación constante que limita la exploración libre.,Ciudad en transformación. Guayaquil ha cambiado muchísimo en los últimos años. El Malecón 2000 está muy bien mantenido y es agradable para caminar. Las Peñas es un barrio colorido lleno de arte. Sin embargo la seguridad sigue siendo una preocupación constante que limita la exploración libre,266,es,neutro,2024
Guayaquil,Ciudad/Costa,Costa,Gateway city with its own charm,"Most visitors just pass through Guayaquil on their way to Galapagos but the city deserves more credit. The Malecon riverside walk is pleasant, Las Penas neighborhood is colorful, and the food especially ceviche and seafood is excellent. Stay near the Malecon for safety.",4.0,February 2024,2026-04-20,Gateway city with its own charm,"Most visitors just pass through Guayaquil on their way to Galapagos but the city deserves more credit. The Malecon riverside walk is pleasant, Las Penas neighborhood is colorful, and the food especially ceviche and seafood is excellent. Stay near the Malecon for safety.","Gateway city with its own charm. Most visitors just pass through Guayaquil on their way to Galapagos but the city deserves more credit. The Malecon riverside walk is pleasant, Las Penas neighborhood is colorful, and the food especially ceviche and seafood is excellent. Stay near the Malecon for safety",270,en,positivo,2024
Guayaquil,Ciudad/Costa,Costa,Problemas de seguridad preocupantes,Lamentablemente Guayaquil enfrenta serios problemas de seguridad. El hotel nos advirtió de no salir después de las 6pm. Durante el día el Malecón está bien pero alejarse del área turística es riesgoso. La situación ha empeorado significativamente en los últimos años.,2.0,Enero 2024,2026-04-20,Problemas de seguridad preocupantes,Lamentablemente Guayaquil enfrenta serios problemas de seguridad. El hotel nos advirtió de no salir después de las 6pm. Durante el día el Malecón está bien pero alejarse del área turística es riesgoso. La situación ha empeorado significativamente en los últimos años.,Problemas de seguridad preocupantes. Lamentablemente Guayaquil enfrenta serios problemas de seguridad. El hotel nos advirtió de no salir después de las 6pm. Durante el día el Malecón está bien pero alejarse del área turística es riesgoso. La situación ha empeorado significativamente en los últimos años,267,es,negativo,2024
Guayaquil,Ciudad/Costa,Costa,Underrated coastal city,"Guayaquil surprised me positively. The waterfront Malecon is lovely especially at sunset. The iguanas roaming freely in the Seminario park are a unique attraction. The food is fantastic, particularly the seafood and local ceviche. Worth a 2-day stop.",4.0,November 2023,2026-04-20,Underrated coastal city,"Guayaquil surprised me positively. The waterfront Malecon is lovely especially at sunset. The iguanas roaming freely in the Seminario park are a unique attraction. The food is fantastic, particularly the seafood and local ceviche. Worth a 2-day stop.","Underrated coastal city. Guayaquil surprised me positively. The waterfront Malecon is lovely especially at sunset. The iguanas roaming freely in the Seminario park are a unique attraction. The food is fantastic, particularly the seafood and local ceviche. Worth a 2-day stop",250,en,positivo,2023
Otavalo,Cultura,Sierra,El mercado más famoso de Sudamérica,"El mercado de Otavalo es una experiencia cultural única. Los sábados el mercado se extiende por toda la ciudad y la variedad de textiles, artesanías y productos locales es impresionante. Los precios son negociables y la calidad de los tejidos es excelente.",5.0,Febrero 2024,2026-04-20,El mercado más famoso de Sudamérica,"El mercado de Otavalo es una experiencia cultural única. Los sábados el mercado se extiende por toda la ciudad y la variedad de textiles, artesanías y productos locales es impresionante. Los precios son negociables y la calidad de los tejidos es excelente.","El mercado más famoso de Sudamérica. El mercado de Otavalo es una experiencia cultural única. Los sábados el mercado se extiende por toda la ciudad y la variedad de textiles, artesanías y productos locales es impresionante. Los precios son negociables y la calidad de los tejidos es excelente",256,es,positivo,2024
Otavalo,Cultura,Sierra,Must visit indigenous market,"Otavalo market is one of the most famous indigenous markets in South America and rightfully so. The textiles, weavings, and crafts are beautiful and authentic. The indigenous Otavaleño people are proud of their culture. Go on Saturday for the full experience.",5.0,January 2024,2026-04-20,Must visit indigenous market,"Otavalo market is one of the most famous indigenous markets in South America and rightfully so. The textiles, weavings, and crafts are beautiful and authentic. The indigenous Otavaleño people are proud of their culture. Go on Saturday for the full experience.","Must visit indigenous market. Otavalo market is one of the most famous indigenous markets in South America and rightfully so. The textiles, weavings, and crafts are beautiful and authentic. The indigenous Otavaleño people are proud of their culture. Go on Saturday for the full experience",259,en,positivo,2024
Otavalo,Cultura,Sierra,Mercado masificado y precios elevados,El mercado de Otavalo ha perdido autenticidad por el exceso de turismo. Los precios ya no son tan accesibles y muchos productos son importados de Asia y no artesanías locales auténticas. Hay que saber distinguir y negociar mucho para encontrar buenos precios.,3.0,Marzo 2024,2026-04-20,Mercado masificado y precios elevados,El mercado de Otavalo ha perdido autenticidad por el exceso de turismo. Los precios ya no son tan accesibles y muchos productos son importados de Asia y no artesanías locales auténticas. Hay que saber distinguir y negociar mucho para encontrar buenos precios.,Mercado masificado y precios elevados. El mercado de Otavalo ha perdido autenticidad por el exceso de turismo. Los precios ya no son tan accesibles y muchos productos son importados de Asia y no artesanías locales auténticas. Hay que saber distinguir y negociar mucho para encontrar buenos precios,259,es,neutro,2024
Otavalo,Cultura,Sierra,Cultura viva y auténtica,"Más allá del mercado, Otavalo tiene una cultura indígena viva y auténtica. El lago San Pablo y el volcán Imbabura crean paisajes espectaculares. La comunidad de Peguche con su cascada sagrada es un lugar especial. Recomiendo quedarse al menos una noche.",4.0,Diciembre 2023,2026-04-20,Cultura viva y auténtica,"Más allá del mercado, Otavalo tiene una cultura indígena viva y auténtica. El lago San Pablo y el volcán Imbabura crean paisajes espectaculares. La comunidad de Peguche con su cascada sagrada es un lugar especial. Recomiendo quedarse al menos una noche.","Cultura viva y auténtica. Más allá del mercado, Otavalo tiene una cultura indígena viva y auténtica. El lago San Pablo y el volcán Imbabura crean paisajes espectaculares. La comunidad de Peguche con su cascada sagrada es un lugar especial. Recomiendo quedarse al menos una noche",253,es,positivo,2023
Montanita,Playa,Costa,La mejor playa para surfistas,Montañita es el destino de surf por excelencia en Ecuador. Las olas son perfectas para todos los niveles y hay escuelas de surf económicas. El ambiente es muy relajado y cosmopolita. La vida nocturna es animada pero puede ser ruidosa si buscas tranquilidad.,4.0,Enero 2024,2026-04-20,La mejor playa para surfistas,Montañita es el destino de surf por excelencia en Ecuador. Las olas son perfectas para todos los niveles y hay escuelas de surf económicas. El ambiente es muy relajado y cosmopolita. La vida nocturna es animada pero puede ser ruidosa si buscas tranquilidad.,La mejor playa para surfistas. Montañita es el destino de surf por excelencia en Ecuador. Las olas son perfectas para todos los niveles y hay escuelas de surf económicas. El ambiente es muy relajado y cosmopolita. La vida nocturna es animada pero puede ser ruidosa si buscas tranquilidad,257,es,positivo,2024
Montanita,Playa,Costa,Great surf but chaotic atmosphere,"Montanita has excellent surf conditions and a laid back beach vibe. However, the town itself is chaotic, dirty, and the party scene dominates everything. If you are looking for a peaceful beach holiday this is not the place. Great for young backpackers though.",3.0,February 2024,2026-04-20,Great surf but chaotic atmosphere,"Montanita has excellent surf conditions and a laid back beach vibe. However, the town itself is chaotic, dirty, and the party scene dominates everything. If you are looking for a peaceful beach holiday this is not the place. Great for young backpackers though.","Great surf but chaotic atmosphere. Montanita has excellent surf conditions and a laid back beach vibe. However, the town itself is chaotic, dirty, and the party scene dominates everything. If you are looking for a peaceful beach holiday this is not the place. Great for young backpackers though",260,en,neutro,2024
Montanita,Playa,Costa,Playa bonita pero muy sucia,La playa en sí es hermosa con olas perfectas. Sin embargo la limpieza del pueblo deja mucho que desear. Hay demasiada basura y el olor en algunas zonas es desagradable. Los precios han subido mucho y la relación calidad-precio no es la mejor.,2.0,Marzo 2024,2026-04-20,Playa bonita pero muy sucia,La playa en sí es hermosa con olas perfectas. Sin embargo la limpieza del pueblo deja mucho que desear. Hay demasiada basura y el olor en algunas zonas es desagradable. Los precios han subido mucho y la relación calidad-precio no es la mejor.,Playa bonita pero muy sucia. La playa en sí es hermosa con olas perfectas. Sin embargo la limpieza del pueblo deja mucho que desear. Hay demasiada basura y el olor en algunas zonas es desagradable. Los precios han subido mucho y la relación calidad-precio no es la mejor,242,es,negativo,2024
Montanita,Playa,Costa,Surf paradise on the Pacific,"Montanita delivers for surfers. The waves are consistent, the surf schools are affordable and professional, and the beach is beautiful. The sunsets are spectacular. Food options have improved significantly with good seafood restaurants along the beachfront.",4.0,December 2023,2026-04-20,Surf paradise on the Pacific,"Montanita delivers for surfers. The waves are consistent, the surf schools are affordable and professional, and the beach is beautiful. The sunsets are spectacular. Food options have improved significantly with good seafood restaurants along the beachfront.","Surf paradise on the Pacific. Montanita delivers for surfers. The waves are consistent, the surf schools are affordable and professional, and the beach is beautiful. The sunsets are spectacular. Food options have improved significantly with good seafood restaurants along the beachfront",257,en,positivo,2023
